Autor,Comentario
@electricomusical2482,"Te entiendo perfectamente Saul, es que España es así, cada uno va a su particular guerra y así nos va, el día que seamos una sociedad con letras mayúsculas donde no ocurran estas idioteces de la gente y mala educación y robos de bicicletas etc... entonces estaremos hablando de una sociedad avanzada como en Dinamarca, Noruega etc. espabilidad insensatos!! espabilidad que lo hacen por boicotear lo eléctrico igualmente con sus pezados de bmw tragones y contaminantes o bien para ocupar la plaza sin enchufar que sin sentido...un saludo mundo con sentido común"
@gmvxtv,"Pasa con eso, con las mascarillas, con tirar las cosas a la papelera/contenedor... si trump es presidente de eeuu,,, imaginaros el resto. Nos rodeamos de esa gente que vota a esa gentuza, ergo, blanco y en botella."
@xavierbennasar6602,"Desgraciadamente Saul... this is Spain..
 Ande yo caliente... riase la gente...
Y así nos va en todo"
@JULIAN-cl1il,Que pensarán los propietarios de los eléctricos que no están cargando cuando lleguen a un punto de carga y se encuentren lo que ellos están haciendo????
@ijaen,"Es lo que siempre digo, hace falta mucha educación y multas."
@cct1941,Toda la razón!!! Panda de incívicos
@SezarBlue,"Toda la razón, a ver si avanza la legislacion y se empieza a sanciona y a retirar coches la grúa."
@carlosgonzalvezbarroso5860,"Es una pena, así nos va, no hemos aprendido nada con el bicho, JAMAS se me ocurriria estacionar ahí , q vergüenza. En todos lados pasa igual, se piensan q son plazas para aparcar los eléctricos, primero yo y después yo"
@efigenerefigener9373,Demostración empírica de la calidad del género humano. Por lo menos en estas latitudes.
@1421pedro,Yo estoy pensando en hacer estrellas para las ruedas ...me falta el material más adecuado ...ideal
@andonidiaz4169,"Puedes denunciar la situacion en la inspeccion de la policia municipal, en los bajos del ayto. Ellos tienen l potestad de denunciar al coche mal aparcado aunque sea en un parking. Receta y a correr."
@iTomcat7733,Pues estoy harto de ver eso en españa y no hablemos de los aparcamientos de minusvalidos
@JosebaEgia,"Coño podemos quedar para dar una vuelta con mi moto electrica, la pena el tiempo"
@Bindows,"La verdad es que es vergonzoso lo que ocurre.  Al ser parking privado no puedes llamar a la Policía Local, pero sí dar aviso al centro comercial y que den matrícula por megafonía para que lo retiren o se le retira, sólo coches cargando. No es un parking al uso ni para aparcar solo eléctricos. Cargar, esa extraña palabra que hay en el diccionario y usamos para el móvil"
@rubend5000,"Eso es tan simple como poner unos cepos automáticos (las barreras que impiden aparcar en una plaza) y que se desbloqueen al activar previamente el cargador. Por si alguien no lo entiende llego con mi eléctrico veo una plaza libre bajo del coche activo el cargador y se baja la barrera aparco el coche y a cargar, si el tío va de listo y solo lo activa para aparcar pero no recarga el coche tras un tiempo prudencial se le avisa vía cargador y/o vía móvil de que debe de conectar el cargador o marcharse y si lo ignora se empieza a contabilizar el monedero asociado a su cuenta, así cuando le llegue el aviso de la pasta que se esta dejando por haber hecho mal uso de la plaza para eléctricos se lo pensara dos veces antes de hacerlo, se da por hecho que un térmico no se le podría bajar la barrera por ausencia de cuenta en los surtidores eléctricos (es obvio pero hay gente que no se entera y hay que dejarselo todo mascado)"
@franciscogaliano8110,"Pero además, tienes 102 dislikes!!!! Alucinante!!!! 🤦‍♂️🤦‍♂️🤦‍♂️"
@jorgeam6799,Te sorprende? 😁
@santiago_s,"¿Qué significa ""se la sopla"" en España?"
@pacobelmonte,"Esto se arregla a host... perdón, a multas.
Lo de los eléctricos sin enchufar, de traca, y su coche de falla valenciana."
@i3enito1,"Les chupa un huevo todo, habria que empezar a desinflar varias ruedas..."
@jacksmithlake5436,"Facil, si vas con tu electrico a este parking, ves que estan todos los sitios com carga ocupados y ves a uno termico en el sitio, dejas el tuyo aparcado en doble fila para que no salga"
@jhonatanrivas7795,Es lo que pasa con los inchufable lo compran i nunca usan los eléctricos
@ruteromaniaco.4025,"Luego decian que a raiz del covid nos ibamos s convertir en una sociedad mas humana, empatica y menos egoista.... vamos a todo lo contrario"
@extrasuave5278,"es que creen que es carga inalambrica como algunos teléfonos moviles jajaja, que descarados"
@josegardunoserna1816,"Fantástico, Saúl. A ver si a esa colección de caraduras se les cae la cara de vergüenza y por lo menos, por lo menos... NO vuelven a tener la cara tan dura de hacer eso! Qué asco, de verdad, entiendo tu indignación... Y ya los que aparcan en plazas habilitadas para minusválidos ya mejor no sigo que me caliento.... Gentu.... Y tal!"
@deccoding,"Van a tener que implementar un sistema de barreras eléctricas de acceso, y que solo los coches eléctricos puedan habilitar"
@BONOPAULCARLOSMIRALLES,"Asi es Verguenza Saul.Bienvenido al pais te tocar los cojones y joder al projimo.
No respetan las cargas de los Electricos pero esos mismos jetas no respetan a los ♿️♿️♿️.Como bien dices te toca los Coj..Por cierto Salu2 sigo tu canal."
@carlostorrespaz5592,"Propongo una solución: Deshincharle las 4 ruedas (ojo, no pinchar, deshinchar) y le dejas una notita explicando que mas o menos es igual de agradable llegar y encontrarte las ruedas en el suelo que llegar y encontrarte un térmico ocupando un punto de carga."
@AlanParkerDJ,"Una pregunta Saul, pusiste esta circunstancia en conocimiento de los responsables del Parking?"
@jlpena4597,"A Saúl (y a mí) se le nota más enojado al ver vehículos eléctricos sin conectar. Saca la manguera y pon a cargar aunque sea al mínimo amperaje … 🤬
Con respecto a los térmicos, están los listillos, los hp y los que aún no saben que son esas cajas colgadas en la pared. 
Yo lo tengo muy claro. Si alguna vez me sucede alguna situación así con necesidad de carga, aparco cruzado y cargo tranquilamente. Personalmente no sufro si me dañan el coche."
@nenegrande,"No son térmicos, en realidad seria mas correcto llamarlos explosivos, térmicos serian por ejemplo, si fuesen de vapor. Ya se que no  has inventado tu el termino, pero desde mi punto de vista, siempre he visto raro ese nombre y me ha sonado ""mal"". El combustible se transforma en calor, por su funcionamiento, al igual que se calienta el motor de tu Tesla,  debido a su funcionamiento también , aunque en menor medida que un diesel, por supuesto, pero en ninguno de los dos, el propósito es calentar nada. Una central electrica de carbón, o de diesel, por ejemplo, si que es térmica, pero un coche, no."
@TonY_PR,"Menuda gentuza jeta....
No se si es impresion mia o cada vez sube mas el incivismo y la falta absoluta de respeto por lo demas. Aunque como han dicho en otros comentarios, si no se respeta la propia vida a traves de posibles y negligentes contagios, como demonios van a respetar estas cuestiones? En fin, no se va a solucionar como no sea a traves de sanciones, multas o similar, esta claro. 
A mi ,particularmente, me costará dar el paso por este tipo de cosas que pueden pasarte. Yo no llevaria nada bien algo asi y no querria hacer algo de lo que luego me arrepienta"
,"El ser humano... la mayoría salen imbéciles, y así va el mundo."
@juanjoizquierdo5847,Que esperabas???esto es España....si la gente no respeta ni las plazas de minusválidos 🤦
@ivansc46,Mientras hablabas he visto a mucha gente guardando la distancia de seguridad y sin mascarilla bienvenido a españa país de incultos este año y el que viene vas a ver españoles por el mundo a cascoporros pero de los inteligentes porque está plagado de imbeciles
@Cheewe228,"Vivo aqui Saul a 2 calles que puta impotencia, el parking debería estar obligado a denunciar o cualquiera de nosotros y venir una grua y adios coche..."
@santiagogonzalezgosalbo7465,Multas ..no hay otra solución
@lokodelavida1985,"Hola, hoy vi en S/C de Tenerife vi i3 aparcado en un cargador y no estaba cargando tenia el parasol puesto osea que ese coche se queda aquí y lo tenia enchufado pero no estaba cargando y el lo que estuve por ahí que fue dos hora estaba aparcado ese coche duerme seguro ahí uno térmico aparcado en el otro aparcamiento"
@bypelu,Por que no hay muchos enchufables ahora mismo pero el día que empiece haber mas cuando alguien quiera cargar por que lo necesite de verdad y vea eso se enfadara y rayon al canto
@fuckingrobert,Ya me imaginaba lo que era solo por el título jajajajaja
@QuantumAlchemyst,El tío la vara... hay que avisar al tio la vara!
@raulmartinezmarguenda7059,"Toda la razón, la. Culpa de la persona que gestiona el parking, multa. Tomar por..."
@victormanuelmartinprieto2420,"El problema está en que quien hace eso, no ve la crítica ni estos vídeos, amigo. Pero tiene solución. La única que se entiende en nuestro país. Multa, sanción y castigo. Lo del civismo es una batalla perdida. Da pena. Mucha pena. Luego nos quejamos del Rey, de los políticos, y de cualquiera que no seamos nosotros mismos. Pero somos lo que somos. ( No todos. Afortunadamente queda gente con dignidad. Cada vez menos)."
@ersa8981,Que vuelvan los marcadores Saúl !! No lo evitará pero el mensaje lo leerán y quizá aprendan
@Zirikatuz,"Soy de San Sebastiam y se.me cae la cara de verguenza al ver esto.

Son unos DESGRACIADOS los que estan haciendo esto.

Esta puta sociedad solo atiende a sanciones. Lo demas se la putasuda."
@jesusm.2821,"Así es, tienes toda la razón, yo también me pongo de mala hostia cuando va un ciclista por la carretera y tiene el carril bici al lado, justo en ese mismo paseo de la concha y otros lugares. Hay de todo."
@michelldmarco,"🤬🤬🤬🤬🤬 se debe presionar a los políticos que bastante cobran,  que tomen cartas en el asunto... Una multa generosa más trabajos sociales pa' que sean serios!"
@navillaxsp,Debería dar vergüenza también la aglomeración que se ve al fondo al principio del video
@franciscoperez8940,"Saúl, creo que ante este tipo de actos de gente que no tiene respeto ninguno por las normas, los parkings deberían tener algún sistema para impedirlo. Algún tipo de cartel advirtiendo que si no hace uso del punto de recarga será sancionado con el pago de un día de estacionamiento cuando pase su matrícula por la caja. A la gente que hace este tipo de actos no les importa el civismo y la educación pero puede que una penalización económica sí les haga pensarselo para la próxima vez. El parking debería tener la potestad de avisar a la policia y sancionar esa matrícula . A este tipo de gente que no demuestra respeto hacia los demás sólo le duele el bolsillo. Yo no soy por ahora propietario de coche hibrido enchufable ni electrico. Pero sí soy un gran usuario de la educación y el respeto hacia el prójimo. Te doy la enhorabuena por los conocimientos que nos compartes y el contenido del canal. Ánimo y gracias. Saludos."
@SeDjEmAsH,Welcome to Spain.
@ruparo,"Vergüenza no tienen, ya lo dice el palabro... SINVERGÜENZAS"
@pichonfarina,"Jajaja aparcan en vados, en pasos de cebra, en cebreados, en salidas de autovia, en la puerta de mi taller con la furgoneta dentro la puerta abierta y alli aparcan. Como no ivana aparcar en esas plazas. Mira la que cae con lo del coronavirus, no respetan dostanvias ni mascarillas vam a respetar una plaza de aparcamiento."
@marioginesta,"Es que no tienen consecuencias negativas, la libertad no siempre es del todo buena"
@davidvl3329,Estuve ahí hace unas semanas. No había cobertura y tuve que arrancar la carga desde fuera. Aquel día no había ningún geta bloqueando los cargadores. Van a por ti 😂😂😂.
@victorhugosancheznaranjo1364,"Hola Saul! Y no hay alguna legislación que pueda hacer algo para multar a estos imbéciles?
Me gustaría que fuera una multa como si te estacionaras en un cajón para minusvalidos."
@sergimadruenoalvarez4933,"Esta tarde he visto en un trio de Barcelona, una Nissan eNV200 aparcada en horizontal, ocupando las 2 plazas para cargar, como mínimo estaba enchufada, igual que algún Tesla que has mostrado tu en los Superchargers. Menuda gracia."
@josesantos127,Muyyyyyyyy bien dicho más tenias que haber dicho si señor sigue así saludos y cuidaros mucho .
@gerardogarciamartin7450,"¿Y no se puede denunciar al establecimiento este tipo de acciones? Yo también me cabrearía igual que tu, Saul."
@albertolorenzosuarez9104,Dale caña al rotulador!!!!😂
@lucianodibernardo1546,"Saul, lamentablemente pasa en todos lados, aca en Italia tambien..."
@leyendanegra894,"En este caso tienes toda la razón.
Supongo que se debería diferenciar entre plaza de aparcamiento y plaza de recarga con tiempo límite, cosa que ahora no pasa y te encuentras con estos problemas. Saludos."
@MsLuchoV,"Lo bueno, ese ""peaso"" fiesta que no encuentra sitio para aparcar y quiere aparcar al lado de donde estabais jajaja.... Y eso que no hablabas precisamente en voz baja... En fin condición humana es."
@franciscoalbertogonzalezmu8988,No se tu pero yo si tengo que cargar con una braga arrastro fuera de la plaza al que haya
@mortimercrash560,Así va España...muy atrás en Europa
@polloloko903,"Yo que tú me imprimiría 50 copias en un folio A4 y cuando vea algo así se lo pegaría en el cristal pero con celo del Gordo y por los cuatro lados... Así la próxima vez al menos se lo piensa, yo porque aquí en Sevilla hay pocos sitios de electrico, pero por si acaso llevaré unas copias en una carpeta en el maletero junto a un celo de los de empaquetar, de los gordos que cuando lo quitas hasta cuesta jejeje... No violencia pero sí que reflexione el personal..¿Cómo lo veis?"
@mauricioherrera5957,esto es como la gente que usa los lugares preferenciales a discapacitados
@polloloko903,"Olee Saúl!! Qué tío, haces bien en denunciar esto.... El otro día, aquí en Sevilla mi ciudad, había un Audi A1 en una plaza de electrico y le dejé una nota, porque además era en un centro comercial y no era la primera vez que lo veía, es decir que trabajará ahí, y con lo grande que es el parking el tío/a aparca donde los eléctricos y mira que hay sitios... Yo creo que es gentuza por dar por...saco"
@tyrion2506,No me esperaba para nada que hubiera tanta gente con un vehículo eléctrico (que sabe como va la cosa) con tan poca empatía con los demás...
@ctabilo1983,Pensé que era por la cantidad de gente qué hay por la pandemia 😂
@JavierGonzalez-hd2jr,"Resumido: la gente, sobre todo en este país, VA A SU PUÑETERA BOLA. Eso es lo que pasa, lo puedes ver todos los días, a todas horas y en diferentes facetas del día a día."
@ivantormospozuelo2805,"A ver, cuando os pase esto, es tan sencillo como hacer una foto y presentar una denuncia voluntaria en policía local. Cualquier ciudadano puede denunciar, sólo que, si no eres agente de la autoridad encargado de la circulación y de servicio, es una denuncia voluntaria, y requiere prueba para que no la archiven."
@NELSONPSX,"Siempre admiramos a los europeos, pero veo q también hay burros.Burro viene en distintos idiomas."
@TitoTrebol,Ahí bien Saúl! Que se jodan y que se les vea la matrícula a esa gente..
@guillerb816,Ya está bien... estamos preparados cívicamente para la nueva etapa eléctrica? Normativa clara y severa ya!!!
@joaquinserrato7902,Eso debería ser sancionable a ver si así se enteran de lo que es la responsabilidad
@perepep4068,"A mi ya no me sorprende nada. Lo que me sorprende es que no habitemos todavía en una cueva, y comamos bayas y flores, porque inteligencia, ni para cazar un conejo.
 Eso los cortos, después están los demasiado ""listos"" , que tienen que ir regateando su propio morro, porque les llega al suelo."
@gergames1974,"Aquí están empezando a poner barreras de aparcamiento en los parkings privados con enchufe, no hay otra solución. Entrás te dan la llave, bajas la barrera y a cargar. Que pena que todo lo tengamos que hacer de esa manera xd!!"
@alejandromoreira9896,"Saúl,  Spain is diferent."
@PachaJavi,"El egoismo humano, Saul, eso es lo que vez cada ves un coche sin enchufar en un punto de carga"
@gabrielvc6603,"Esto es como todo se soluciona con multas y listo luego llegaran los iluminados diciendo que si afán recaudatorio que es mejor educar, que falta información... y gilipolleces varias pero el ser humano es así de gilipollas solo espeta las normas si le cuesta dinero... Y el primero que debería poner sanciones es el parking.  Pero lo más hiriente de este video es que son los propios interesados los que rompen las normas... Hay q ser imbécil luego se quemaran cuando estén todos S los puntos de carga ocupados en cualquier sitio y no puedan continuar su viaje..."
@robertoabeniauliaque1728,Y sobran todas las explicaxiones...
@FranciscoRam,"Hombre, Saúl, la próxima vez pide a tus amigos que aparten el coche de ahí pa' grabar el vídeo, que eso ha quedado feo a pesar de las explicaciones... 🤣🤣"
@lluispascualroca1731,"Porque llevas 65 no me gusta, la gente es to.......????????"
@vader288,Ahí Saul...duro con ellos....
@raulnet,"Hoja adhesiva de tamaño A4 donde ponga:
""Esto es una estación de carga para vehículos eléctricos. No es un aparcamiento. El mismo tiempo que he tardado en buscar otra estación de carga libre, vas a tardar tú en quitar la pegatina del cristal"".
Y pegarla en el campo visual de la luna delantera. 🤬"
@diegodelahoz1690,El del Ford fiesta q llegaba cuando terminas el vídeo...... se estaba pensando aparcar en el sitio libre q había para cargar
@vitlangara,Yo probaría a ir a un punto de información con las matrículas de los coches y haría que los llamen por megafonia con las matrículas indicando que son vehículos termicos aparcados en plazas de vehículos eléctricos los cuales necesitan repostar
@ikerizagirre4989,Llama a la policía municipal para que los denuncie
@CARSCOCHES,"Hola, por favor sigueme en twitter @VERSAIS"
@js2797,jajajaja  ese  que se ve al  final  llevaba toda la  intención
@mariorodriguezruiz8519,Como idea...existe en algun sitio cargadores con algun tipo de bolardo que solo se baje y te de acceso una vez que te hayas conectado? Vamos que te cobre una tarifa de acceso que luego se pueda descontar del total que cargas
@joseantoniog6246,No me quiero ni imaginar si alguien aparca en un surtidor. Esos eléctricos igual se piensan dentro de su cara dura que son plazas de aparcamiento reservadas para vehículos eléctricos
@leonevinci,la solucion mas real es poner los cargadores lo mas lejos de la puerta
@eusebiolivares3415,"Por desgracia Saúl es una batalla perdida, la gente va a la suya y lo demás se la suda y por ponerte otro ejemplo el que si aparca bien caben dos pero para eso hay que hacer maniobra y lo deja tal y como llega.
En fin y así podríamos estar hasta aburrirnos.
Hay gente amargada y 
 malecudaca.
Pero haces bien en denunciarlo.
Gracias por el vídeo y la información"
@byjoshucod5040,"Yo hubiera llamado a la policia y que les hubiera metido una multa a cada uno de esos coches que no estaban enchufados y tambien los que son de motor térmico, una verguenza"
@jnmorales2081,"Si hay gente que pasa de las mascarillas, aún pasa más de no ocupar puesto de recarga."
@andrespg8384,"Comparto tu enfado pero no me sorprende.
Lamentablemente hay mucha gente así y sospecho que en general somos así.
No solo pasa con las plazas de carga de vehículos eléctricos, que no de estacionamiento o las de minusválidos.
Ahora que estamos sufriendo una pandemia pasa con el uso de las mascarillas, la gente no se las pone o se las cuelga del cuello. También pasa con el tabaco.
En general somos egoístas y mal educados tienen que prohibirnos las cosas y aun así seguimos haciendo lo que nos apetece."
@Swapper,"Yo uso el hashtag #AparcasComoUnGilipollas y además tengo unos papelitos muy chulos donde se le dice eso al cretino de turno y se los pongo en limpiaparabrisas  (en mi caso cuando están encima de un paso de peatones o en minusválidos), ya que aun no me he pasado a los coches a pilas."
@tomaschan5874,"Ponle un papelito en el parabrisas ""este sitio está reservado sólo para coches eléctricos Y además que estén cargando"" :-)"
@guagiro1301,"Perfecto, me encanta éste video y muy bien hecho por denunciarlo y reclamarlo en éste video, pero ademas de éste video que seguramente los dueños de esos autos mal aparcados no van a ver QUE COÑO ESTAS HACIENDO TU PARA HACERLE VER A ELLOS, A LOS PROPIETARIOS DE ESOS VEHÍCULOS QUE ALLÍ NO SE PUEDEN ESTACIONAR? A ver Saul sube un video que con 2 cojones reclamandoles a esos GILIPOLLAS que alli NO SE PUEDEN ESTACIONAR y dejate de pavadas que como TU bien dices en ese vídeo a ellos ""SE LA SOPLAN"" y reclamales de frente a sus dueños."
@lluisespinasaroviral7180,Muchos no saben lo q un punto carreta ...otros unos jetas.
@casan1095,que le ponchen las llantas a los que no esten enchufados!!
@nicolasbarck210,A mí esa playa me queda en la concha de la lora.
@davidsonike,Menuda banda de sinvergüenzas.
@quintad3368,No les pueda dar vergüenza ya que de eso mismo es de lo que carecen
@georgeglez8076,Es cosa cultural...en todas partes del mundo hay cada carbón
@gloriarg4072,Y esto no se puede denunciar???
@pmendez,"Que puta vergüenda por dios... Yo estube en ese parking y en efecto.. vi eso, claro.. no soy youtuber y tampoco tenía el tiempo para denunciar."
@Reggie_BB,Pásate a la mascarilla eléctrica.
@albertopiqueras252,"No sólo para con eso Saúl. Pasa con todo,  cuantos facilitan una incorporación teniendo el carril izquierdo libre, cuantos ponen el intermitente al salir de las rotondas, cuantos mantienen distancia de seguridad, cuantos sirvan en zonas de minusválidos, cuantos aceleran cuando ven que les vas a adelantar, cuantos circulan por carril central en autovía con tres carriles por sentido. Falta respeto y pensar en los demás. Esa gente con respetar el límite de velocidad ya se creen que lo están haciendo bien, claro que eso una parte de culpa la tiene la jodete, hoy perdón la DGT que piensa y trasmite que la única regla de circulación importante sin los límites de velocidad, lo demás.... Va, lo demás no es importante."
@inakicastillolitago9746,"@Saúl_López Es el primer año que tenemos cargadores en los parkings de Donosti y empezamos así.
Otro vicio habitual es enchufar en los de Ibil de la calle para no pagar OTA, pero bajando el amperaje para no comerte las tarifas de los amigos...
En ese parking me he sentido yo idiota por ir a aparcar a una plaza normal, viendo todos los desenchufados que había en las plazas de carga..."
@setlaoui,La lei no contempla llamar a una grua?
@aritza6801,Tranquilo hombre... Si total los eléctricos no valen para viajar! /IRONIC MODE OFF
@thetritton1019,Llama a la grua y que se los lleven
@samuelsantana4523,"Eso es lo que siempre pienso cuando veo que la gente ocupa los puntos de carga,sean térmicos o eléctricos que no cargan. A mí me hacen flaco favor porque no tengo dónde cargar en casa y dependo de los puntos del Cabildo y/ o de algún centro comercial. Hace falta más civismo, más mano dura y más puntos de carga"
@franciscojaviertoledorubia2839,"Totalmente, sobre todo los eléctricos que conocen de nuestras limitaciones al tener vehículo eléctrico y que por circunstancias podemos tener un apuro y que tengas una necesidad real de carga y que encima que llegas al cargador esté ocupado por un ""compañero"" que se cree que tener vehículo eléctrico es una especie de preferencia para aparcar en las plazas reservadas para vehículos eléctricos aunque no tengan necesidad de cargar..."
@hcta,"Es verdad,que 🤔 🤷 😱 no piensan gente..normal que te pones así, yo también me pondría igual de mala ostia...y es verdad..imaginar os que los electricos aparcarian en surtidor del petróleo ⛽ ➡ y iría por ahí.. en fin solo con videos así se puede enseñar a la gente que hay por ahí. Gran video,Saul.."
@carlosrumbopedreira5470,"A mi tambien me tocan Los co......j.....ones!!!!!
Viva la educación de civismo!.."
@josegarcialadrondeguevara1804,"Esto es España, las normas están para saltarselas 😤🤷‍♂️"
@marcgr2000,Hay gente que aunque llegue puntual llega con retraso
@rasador941,Y poco se habla del distanciamiento social a la mierda!
@andresseguracano8746,"Que demonios piensa la gente? Preguntas.... en general, la gente no piensa, aún no lo has aprendido? Un saludo gran trabajo."
@fernandobrito4670,"La solucion a eso es una camara en cada cargador, y si estaciona un vehiculo que no esta cargando por mas de 15 minutos, una multa, con foto!!"
@andrey_7418,Hay que hacer fotos a los coches (es legal porque es un lugar público) y qué se vea las matrículas y colocar las fotos en lugares públicos como ejemplo negativo
@josereinamartinez5306,toda la razon
@mirrowsedge2707,2:36 el/la del ford: Creo que aparcare por aquí que está libre
@CharlyOR,"Saul, sin animo de ofender el caso de tu amigo no debió ocurrir.  Estoy de acuerdo en criticar lo criticable, pero el buen samaritano por su casa empieza; eso de estacionarse ""solo por un rato"" ""Solo son 5 mins"" ""Nada mas en lo que subimos bajamos"" ¡NO! si ahí dice que es solo para enchufar, ¡es así y punto!. El solo motivo de llegar y encontrar estacionado alguien que no deba estar ahí y pedirle por favor que se mueva ya es estresante por que no sabes que tipo de reacción vaya a tener la otra persona. Espero no ofender a nadie con mi comentario pero las cosas con el deber ser por favor."
@AsaltaViejas,"Ah pero luego la gente se enoja si alguien sano se estaciona en el parking de minusvalidos


Perdon por el ejemplo pero es lo mismo, la gente es irrespetuosa con los demas"
@rafaelcontreras7165,"Simplemente no hay educación ni civismo. Esto debería estar multado y no con 100€, sino con una multa que le duela a más de uno el bolsillo, verás como para la próxima se lo piensa dos veces. Si esto ocurre en San Sebastián, pues en el resto de España pasará también, es lo que hay y habrá que aguantarse mientras que no hayan penalizaciones. A mi me ha indignado ver esto, así que el que vaya a cargar su coche y se lo encuentre mucho más indignado quedará."
@boquinauer,"¿Y qué dicen los vigilantes del parking? ¿No les van a dar un toque? Debería poner algún tipo de aviso. Incluso alguna tarifa extra. Algo tan simple disuadiría a los listillos. 

Un saludo"
@mig29ba,La estupidez humana es infinita mi estimado; y lo peor es que pareciera que no tiene límites.
@peritomoreno981,"Solo se puede decir que tienes toda la razón, y alertaría a los eléctrico que no están enchufados, y ellos lo saben bien, que cuando llegas con otro eléctrico sin carga en la batería 🔋 aparte de ponerte de mala hostia, asustado por que te puedes quedar tirado, te entran los nervios y puede pasar cualquier cosa. Por favor un poco de decencia."
@Ru-et4gj,Si fuera por mi (sobretodo en sitio de minusválidos) les patrocinaba la gracia Michelin.... una y no más Santo Tomás!!!
@joanantonim.p.2400,"TE APOYO CON ESTO AL 200%... COMO SIEMPRE ""SPAIN IS DIFFERENT..."" , EL FRANCÉS... EL ÚNICO QUE PARECE EUROPEO... , SI HUBIERA O HUBIESE VIGILANCIA EN EL ""PARKING"", TENDRÍA QUE PONER CARTAS AL ASUNTO...  ME HA PARECIDO ESPLÉNDIDO QUE LO DIVULGUES EN LA ""RED"".... 👍👍👍👍👍👍😠😠😡😡👹👹👺👺👏👏👏👏👌👌"
@juanantonioch519,La multa es lo único que entienden algunos😔
@franperez2963,"Con la de parados que engrosan la lista del paro, podían contratar a un vigilante y solución al canto lo de la mascarilla ya lo sabes..."
@jeffpinero3773,"Hay unos stickers del tamaño de una página oficio que se colocan en los centros comerciales cuando estás mal parkeado, a todos en algún momento nos han colocado alguno y como cuesta sacarlos.. Yo creo que debería aplicar colocarles el sticker junto a un preservativo y el aviso que indique ""no te reproduzcas"""
@cristhianurrego3205,"Lo peor del tema es que los mismos administradores o el ayuntamiento, no hacen control de esta situación y multa a los que no deben estar allí."
@cristhianurrego3205,"Saul. El tema es falta de conciencia ciudadana. Lo peor del tema es que no solo pasa en tu país, sino en varios. Las personas en general no piensan en los otros..."
@jesusandreu3556,"Tienes toda la razón Saúl....
Hay mucho Listoooooò!
si no vas a cargar....no se debe aparcar...😉"
